subject_id,filename,dis_perc_gs,dis_perc_ge,dis_perc_gm,dis_perc_ss,dis_ws_rt_gs,dis_ws_rt_ge,dis_ws_rt_se,dis_ks_rt_gs,dis_ks_rt_se,dis_ssd_mean,total_distance
INVK5JP23J6,NDAR_INVK5JP23J6_baseline_year_1_arm_1_sst.csv.zip,0.031154081235761577,0.003987886870033888,0.02716619436572762,0.007063558145989357,0.020857812003810733,0.09545273234942162,0.022532855075958518,0.0735450048710648,0.06890523269833615,0.02142658895365024,0.37209194656975453
INVB4Z46M1B,NDAR_INVB4Z46M1B_baseline_year_1_arm_1_sst.csv.zip,0.012159248763682795,0.002160360060010004,0.009998888703672834,0.007937829586455725,0.02093835303139771,0.05908590308370045,0.020097117794486207,0.07166203497074264,0.056140350877192935,0.11434915348320907,0.3745292403545504
INVD7969NZ4,NDAR_INVD7969NZ4_baseline_year_1_arm_1_sst.csv.zip,0.01598988720342276,0.0033233316663888457,0.012666555537033952,0.01293366638912019,0.016121327827944863,0.055953947368421054,0.03520585317460319,0.06738890188001115,0.15228174603174593,0.004274215931168612,0.3761394330098605
INVYFW72521,NDAR_INVYFW72521_baseline_year_1_arm_1_sst.csv.zip,0.0018214146802245645,0.0008451408568094648,0.0026665555370339504,0.01876214265889531,0.012560253413068472,0.09374229691876748,0.03545393285959324,0.057373132015034356,0.09807645185003676,0.05500971412711575,0.37631103491657936
INV75642VVU,NDAR_INV75642VVU_baseline_year_1_arm_1_sst.csv.zip,0.00966327721286886,0.00966327721286881,0.0,0.00792395226200393,0.024852824833485065,0.039367030965391625,0.01603886616014027,0.1359554720568914,0.0860900058445353,0.059394948653899604,0.38894965520208485
INV3H81JJ1U,NDAR_INV3H81JJ1U_baseline_year_1_arm_1_sst.csv.zip,0.013996777240651181,0.010830138356392731,0.003166638884258488,0.01876214265889531,0.010307841999449039,0.13768115942028986,0.026753553050722863,0.040915085547486324,0.09819897084048024,0.036525117957257436,0.3971374259558834
INVMB7HFCAV,NDAR_INVMB7HFCAV_baseline_year_1_arm_1_sst.csv.zip,0.02198755348113579,0.0006790020558982007,0.02266655553703395,0.02209270052733836,0.016328496378100167,0.07523034398034398,0.02337703820880994,0.07737577285698993,0.12959357507909466,0.010047182903136331,0.39937822100788134
INVPRX26ZJ6,NDAR_INVPRX26ZJ6_baseline_year_1_arm_1_sst.csv.zip,0.008658109684947513,0.003658387509029283,0.004999722175918209,0.005398279211767942,0.01629878456839279,0.09654991610738255,0.02515619368016342,0.0865644522706625,0.14447915415114743,0.012378573411045757,0.40414157277045737
INVAP0L6AHN,NDAR_INVAP0L6AHN_baseline_year_1_arm_1_sst.csv.zip,0.008652553203311708,0.009819414346835587,0.0011668611435239206,0.011268387454898665,0.014902795483518482,0.06078913601368689,0.015113240418118462,0.06148697869240577,0.11149825783972123,0.11129614210380279,0.4059937666998235
INV2YG2VRCX,NDAR_INV2YG2VRCX_baseline_year_1_arm_1_sst.csv.zip,0.0149913874534644,0.00017502917152858316,0.015166416624993054,0.007063558145989357,0.01860868719081938,0.1376079734219269,0.02604141548107065,0.06315320292293403,0.09735953701470945,0.02875381626422424,0.40892102369166006
INVG8NL3R9N,NDAR_INVG8NL3R9N_baseline_year_1_arm_1_sst.csv.zip,0.024490748458076306,0.008157470689559375,0.016333277768516976,0.005398279211767942,0.011831347166162774,0.07126729209731275,0.02585005406704315,0.07096487054743011,0.09762105010212663,0.07887871218429066,0.41079310229228666
INV7FG8NTPP,NDAR_INV7FG8NTPP_baseline_year_1_arm_1_sst.csv.zip,0.010997388453631074,0.005998221925876535,0.004999166527754626,0.042034415764640565,0.01482509888299908,0.034218750000000006,0.0230193259939426,0.05357718673517914,0.10403345992981108,0.11984457396613912,0.41354758817997384
INV8MHLZCL8,NDAR_INV8MHLZCL8_baseline_year_1_arm_1_sst.csv.zip,0.010491192976607278,0.0018403067177862956,0.01233149969439351,0.008756591729114693,0.01581096451176908,0.05085491367861885,0.03141811074158352,0.08507730599595903,0.10595717369741531,0.09331112961420995,0.4158491893574575
INVCB2NZA8D,NDAR_INVCB2NZA8D_baseline_year_1_arm_1_sst.csv.zip,0.017161193532255425,0.011661388009112629,0.005499805523142746,0.011254510130446871,0.008618398374426243,0.11869433198380568,0.026042029490305357,0.05266242130662746,0.13317078834320217,0.031085206772133667,0.4158500734654582
INVAFZ44PA8,NDAR_INVAFZ44PA8_baseline_year_1_arm_1_sst.csv.zip,0.01683002722675997,0.0174968050230594,0.0006667777962993832,0.023744102137108036,0.008250167714144468,0.09043478260869564,0.01921182266009852,0.05602064355153824,0.10673234811165844,0.07704690535664671,0.4164343821860088
INVJ1XKYGP9,NDAR_INVJ1XKYGP9_baseline_year_1_arm_1_sst.csv.zip,0.004327943546146518,0.0038289714952492067,0.0004989720508973726,0.0004024424091034762,0.009854453713389891,0.0994692144373673,0.0685344827586207,0.031914379979077756,0.18448275862068964,0.02076047737996145,0.4240740963905033
INVPLBB3DCW,NDAR_INVPLBB3DCW_baseline_year_1_arm_1_sst.csv.zip,0.017153970106128846,0.000987386786686667,0.01616658331944213,0.012101026922009428,0.015627255503428375,0.08921901934495308,0.03495962732919254,0.08568657524359435,0.148695652173913,0.01232306411323858,0.432920160842587
INVX1CT4ANJ,NDAR_INVX1CT4ANJ_baseline_year_1_arm_1_sst.csv.zip,0.006496638328610249,0.0031633049952769915,0.0033333333333333335,0.014571190674438017,0.007808895020671444,0.06505312868949231,0.0335405946255003,0.05489356644464849,0.21560891938250426,0.028809325562031418,0.4332788970565068
INVV8576DMV,NDAR_INVV8576DMV_baseline_year_1_arm_1_sst.csv.zip,0.003661165749847206,0.004161804745235316,0.0005006389953881199,0.015431584790452368,0.023812816546962125,0.044,0.018201023932889217,0.11412481680464352,0.12126819639773007,0.09236747155148528,0.4375295195146332
INV54VT5R72,NDAR_INV54VT5R72_baseline_year_1_arm_1_sst.csv.zip,0.017822414846918933,0.0008440295604822956,0.018666444407401235,0.003760754926450227,0.014524632698731877,0.11466507177033491,0.06041408782788092,0.05862095806441148,0.1264957264957265,0.028587288370801822,0.4444014089691402
INV5F2R3TL8,NDAR_INV5F2R3TL8_baseline_year_1_arm_1_sst.csv.zip,0.0054986942268155925,0.005498694226815582,0.0,0.002067721343325002,0.019001335004359195,0.11196808510638298,0.028931511752774135,0.11018780877651846,0.14365827466889397,0.023868998057174906,0.4506811231630598
INVFH4ZYJY6,NDAR_INVFH4ZYJY6_baseline_year_1_arm_1_sst.csv.zip,0.016154359059843304,0.014845251986442189,0.030999611046285493,0.0029003608104356537,0.01863009201022161,0.08835870012340599,0.039432558417498355,0.03669728399749994,0.14014223390904199,0.06738828753816328,0.4555487388988378
INV80G295L2,NDAR_INV80G295L2_baseline_year_1_arm_1_sst.csv.zip,0.029991109629382673,0.009508807023392789,0.03949991665277546,0.015431584790452368,0.01275925659126927,0.07951346760495025,0.024762521588946464,0.07052201892138499,0.0883296323710831,0.08864834859839021,0.4589666637720276
INV2MH3HPHP,NDAR_INV2MH3HPHP_baseline_year_1_arm_1_sst.csv.zip,0.01166527754625768,0.004998610879591045,0.006666666666666667,0.017929503191784657,0.006468030984456319,0.10425,0.028114261168384863,0.03503075461147642,0.12457044673539519,0.12323064113238935,0.4629241929164022
INVF0C17HWX,NDAR_INVF0C17HWX_baseline_year_1_arm_1_sst.csv.zip,0.006156026004333959,0.004843029393787848,0.01099905539812191,0.0029003608104356537,0.024832563643047513,0.03588377507163324,0.03144833562421562,0.13451773734031797,0.11701428315305085,0.09580904801554269,0.4644042144544872
